YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AR,Arkansas,31.2,,,,Female,,,"(34.74865012400045, -92.27449074299966)",Female,GEN,FEMALE
2011,2011,CA,California,24.5,,,,Female,,,"(37.63864012300047, -120.99999953799971)",Female,GEN,FEMALE
2011,2011,CO,Colorado,20.3,,,,Female,,,"(38.843840757000464, -106.13361092099967)",Female,GEN,FEMALE
2011,2011,CT,Connecticut,23.6,,,,Female,,,"(41.56266102000046, -72.64984095199964)",Female,GEN,FEMALE
2011,2011,DE,Delaware,28.6,,,,Female,,,"(39.008830667000495, -75.57774116799965)",Female,GEN,FEMALE
2011,2011,DC,District of Columbia,28.4,,,,Female,,,"(38.89037138500049, -77.03196112699965)",Female,GEN,FEMALE
2011,2011,FL,Florida,25.6,,,,Female,,,"(28.932040377000476, -81.92896053899966)",Female,GEN,FEMALE
2011,2011,GA,Georgia,29.3,,,,Female,,,"(32.83968109300048, -83.62758034599966)",Female,GEN,FEMALE
2011,2011,HI,Hawaii,19.2,,,,Female,,,"(21.304850435000446, -157.85774940299973)",Female,GEN,FEMALE
2011,2011,ID,Idaho,27.9,,,,Female,,,"(43.682630005000476, -114.3637300419997)",Female,GEN,FEMALE
2011,2011,IL,Illinois,26.5,,,,Female,,,"(40.48501028300046, -88.99771017799969)",Female,GEN,FEMALE
2011,2011,IN,Indiana,30.8,,,,Female,,,"(39.766910452000445, -86.14996019399968)",Female,GEN,FEMALE
2011,2011,IA,Iowa,27.4,,,,Female,,,"(42.46940091300047, -93.81649055599968)",Female,GEN,FEMALE
2011,2011,KS,Kansas,29.1,,,,Female,,,"(38.34774030000045, -98.20078122699965)",Female,GEN,FEMALE
2011,2011,KY,Kentucky,31.1,,,,Female,,,"(37.645970271000465, -84.77497104799966)",Female,GEN,FEMALE
2011,2011,LA,Louisiana,33.8,,,,Female,,,"(31.31266064400046, -92.44568007099969)",Female,GEN,FEMALE
2011,2011,ME,Maine,27.6,,,,Female,,,"(45.254228894000505, -68.98503133599962)",Female,GEN,FEMALE
2011,2011,MD,Maryland,27.9,,,,Female,,,"(39.29058096400047, -76.60926011099963)",Female,GEN,FEMALE
2011,2011,MA,Massachusetts,21.4,,,,Female,,,"(42.27687047000046, -72.08269067499964)",Female,GEN,FEMALE
2011,2011,MI,Michigan,30.7,,,,Female,,,"(44.6613195430005, -84.71439026999968)",Female,GEN,FEMALE
2011,2011,MN,Minnesota,22.9,,,,Female,,,"(46.35564873600049, -94.79420050299967)",Female,GEN,FEMALE
2011,2011,MS,Mississippi,37.3,,,,Female,,,"(32.745510099000455, -89.53803082499968)",Female,GEN,FEMALE
2011,2011,MO,Missouri,30.7,,,,Female,,,"(38.635790776000476, -92.56630005299968)",Female,GEN,FEMALE
2011,2011,MT,Montana,23.3,,,,Female,,,"(47.06652897200047, -109.42442064499971)",Female,GEN,FEMALE
2011,2011,US,National,27.1,,,,Female,,,,Female,GEN,FEMALE
2011,2011,NE,Nebraska,27.6,,,,Female,,,"(41.6410409880005, -99.36572062299967)",Female,GEN,FEMALE
2011,2011,NV,Nevada,23.4,,,,Female,,,"(39.493240390000494, -117.07184056399967)",Female,GEN,FEMALE
2011,2011,NH,New Hampshire,24.1,,,,Female,,,"(43.65595011300047, -71.50036091999965)",Female,GEN,FEMALE
2011,2011,NJ,New Jersey,21.8,,,,Female,,,"(40.13057004800049, -74.27369128799967)",Female,GEN,FEMALE
2011,2011,NM,New Mexico,26.3,,,,Female,,,"(34.52088095200048, -106.24058098499967)",Female,GEN,FEMALE
2011,2011,NY,New York,23.7,,,,Female,,,"(42.82700103200045, -75.54397042699964)",Female,GEN,FEMALE
2011,2011,NC,North Carolina,30,,,,Female,,,"(35.466220975000454, -79.15925046299964)",Female,GEN,FEMALE
2011,2011,ND,North Dakota,25.4,,,,Female,,,"(47.47531977900047, -100.11842104899966)",Female,GEN,FEMALE
2011,2011,OH,Ohio,27.6,,,,Female,,,"(40.06021014100048, -82.40426005599966)",Female,GEN,FEMALE
2011,2011,OK,Oklahoma,31.5,,,,Female,,,"(35.47203135600046, -97.52107021399968)",Female,GEN,FEMALE
2011,2011,OR,Oregon,27.2,,,,Female,,,"(44.56744942400047, -120.15503132599969)",Female,GEN,FEMALE
2011,2011,PA,Pennsylvania,27.6,,,,Female,,,"(40.79373015200048, -77.86070029399963)",Female,GEN,FEMALE
2011,2011,RI,Rhode Island,23.3,,,,Female,,,"(41.70828019300046, -71.52247031399963)",Female,GEN,FEMALE
2011,2011,SC,South Carolina,33,,,,Female,,,"(33.998821303000454, -81.04537120699968)",Female,GEN,FEMALE
2011,2011,SD,South Dakota,26.3,,,,Female,,,"(44.353130053000484, -100.3735306369997)",Female,GEN,FEMALE
2011,2011,TN,Tennessee,30.4,,,,Female,,,"(35.68094058000048, -85.77449091399967)",Female,GEN,FEMALE
2011,2011,TX,Texas,29.9,,,,Female,,,"(31.827240407000488, -99.42677020599967)",Female,GEN,FEMALE
2011,2011,UT,Utah,22.9,,,,Female,,,"(39.360700171000474, -111.58713063499971)",Female,GEN,FEMALE
2011,2011,VT,Vermont,23.6,,,,Female,,,"(43.62538123900049, -72.51764079099962)",Female,GEN,FEMALE
2011,2011,VA,Virginia,28.6,,,,Female,,,"(37.54268067400045, -78.45789046299967)",Female,GEN,FEMALE
2011,2011,WA,Washington,24.9,,,,Female,,,"(47.52227862900048, -120.47001078999972)",Female,GEN,FEMALE
2011,2011,WV,West Virginia,34.2,,,,Female,,,"(38.66551020200046, -80.71264013499967)",Female,GEN,FEMALE
2011,2011,WI,Wisconsin,26.1,,,,Female,,,"(44.39319117400049, -89.81637074199966)",Female,GEN,FEMALE
2011,2011,WY,Wyoming,23.8,,,,Female,,,"(43.23554134300048, -108.10983035299967)",Female,GEN,FEMALE
2011,2011,AL,Alabama,33.8,,,Some college or technical school,,,,"(32.84057112200048, -86.63186076199969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AK,Alaska,25.8,,,Some college or technical school,,,,"(64.84507995700051, -147.72205903599973)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AZ,Arizona,25.9,,,Some college or technical school,,,,"(34.865970280000454, -111.76381127699972)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AR,Arkansas,31,,,Some college or technical school,,,,"(34.74865012400045, -92.27449074299966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,CA,California,24,,,Some college or technical school,,,,"(37.63864012300047, -120.99999953799971)",Some college or technical school,EDU,EDUCOTEC
2011,2011,CO,Colorado,22.3,,,Some college or technical school,,,,"(38.843840757000464, -106.13361092099967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,CT,Connecticut,26.4,,,Some college or technical school,,,,"(41.56266102000046, -72.64984095199964)",Some college or technical school,EDU,EDUCOTEC
2011,2011,DE,Delaware,30.9,,,Some college or technical school,,,,"(39.008830667000495, -75.57774116799965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,DC,District of Columbia,31,,,Some college or technical school,,,,"(38.89037138500049, -77.03196112699965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,FL,Florida,27.4,,,Some college or technical school,,,,"(28.932040377000476, -81.92896053899966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,GA,Georgia,28.6,,,Some college or technical school,,,,"(32.83968109300048, -83.62758034599966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,HI,Hawaii,22.8,,,Some college or technical school,,,,"(21.304850435000446, -157.85774940299973)",Some college or technical school,EDU,EDUCOTEC
2011,2011,ID,Idaho,27.6,,,Some college or technical school,,,,"(43.682630005000476, -114.3637300419997)",Some college or technical school,EDU,EDUCOTEC
2011,2011,IL,Illinois,28,,,Some college or technical school,,,,"(40.48501028300046, -88.99771017799969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,IN,Indiana,31.8,,,Some college or technical school,,,,"(39.766910452000445, -86.14996019399968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,IA,Iowa,29,,,Some college or technical school,,,,"(42.46940091300047, -93.81649055599968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,KS,Kansas,31.3,,,Some college or technical school,,,,"(38.34774030000045, -98.20078122699965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,KY,Kentucky,30.6,,,Some college or technical school,,,,"(37.645970271000465, -84.77497104799966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,LA,Louisiana,35.8,,,Some college or technical school,,,,"(31.31266064400046, -92.44568007099969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,ME,Maine,28.4,,,Some college or technical school,,,,"(45.254228894000505, -68.98503133599962)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MD,Maryland,29.3,,,Some college or technical school,,,,"(39.29058096400047, -76.60926011099963)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MA,Massachusetts,24.1,,,Some college or technical school,,,,"(42.27687047000046, -72.08269067499964)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MI,Michigan,32.8,,,Some college or technical school,,,,"(44.6613195430005, -84.71439026999968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MN,Minnesota,27.2,,,Some college or technical school,,,,"(46.35564873600049, -94.79420050299967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MS,Mississippi,36.9,,,Some college or technical school,,,,"(32.745510099000455, -89.53803082499968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MO,Missouri,31.5,,,Some college or technical school,,,,"(38.635790776000476, -92.56630005299968)",Some college or technical school,EDU,EDUCOTEC
